orig,type,subtype,color,detail,brand,condition,fit_for_system,notes
IMG_0849,shirt,button-shirt,gray,plaid,unknown,fine,weak,Gray-and-white plaid short-sleeve casual pattern off-system
IMG_0850,shirt,dress-shirt,white,spread-collar,Zara,fine,strong,Crisp white Zara dress shirt
IMG_0851,shirt,button-shirt,charcoal,short-sleeve,unknown,fine,medium,Dark gray short-sleeve button-up serviceable casual
IMG_0852,shirt,dress-shirt,light-blue,striped,unknown,fine,strong,Light blue with navy stripe long-sleeve shirt classic
IMG_0853,shirt,dress-shirt,white,pinstripe,unknown,fine,strong,White with fine navy pinstripe dress shirt business-classic
IMG_0854,shirt,button-shirt,light-blue,striped,unknown,fine,strong,Short-sleeve light blue pinstripe button-down with chest pocket classic summer office look
IMG_0855,shirt,button-shirt,red,plaid,unknown,fine,weak,Short-sleeve red-white-black plaid casual shirt loud pattern not aligned with system
IMG_0856,shirt,button-shirt,white,pattern,unknown,fine,medium,Long-sleeve white shirt with diamond-lattice burgundy print busy pattern but in system colors
IMG_0857,shirt,button-shirt,gray,solid,unknown,fine,medium,Short-sleeve gray utility-safari shirt with double chest pockets neutral but utilitarian
IMG_0858,shirt,button-shirt,olive,performance,Columbia,fine,medium,Columbia PFG vented fishing shirt in olive technical fabric outdoorsy vibe
IMG_0859,shirt,button-shirt,olive,solid,unknown,fine,medium,Short-sleeve olive-khaki camp-style shirt with double chest pockets
IMG_0860,shirt,button-shirt,olive,striped,unknown,fine,medium,Short-sleeve pale olive-green vertical striped shirt with chest pocket
IMG_0861,shirt,button-shirt,navy,plaid,unknown,fine,weak,Short-sleeve navy-white plaid shirt pattern dilutes sporty-authority target
IMG_0862,shoes,sneaker,burgundy,performance,On,visible-wear,strong,On Cloud sneakers in rust-burgundy on-brand sportive color sole shows wear
IMG_0863,shoes,loafer,black,slip-on,Bruno Marc,new-looking,medium,Black slip-on dress loafers serviceable formal but black less versatile than brown
IMG_0864,shoes,loafer,brown,slip-on,Bostonian,fine,strong,Bostonian Flexlite cognac brown slip-on loafers ideal smart-casual anchor
IMG_0865,shoes,sandal,white,terry-slipper,unknown,new-looking,hard-no,Disposable hotel-style terry slippers not real wardrobe item
IMG_0866,shoes,sandal,black,water-shoe,Speedo,fine,hard-no,Speedo aqua water shoe in black-gray pool beach utility only
IMG_0867,shoes,sneaker,multicolor,running,Nike,visible-wear,hard-no,Nike running shoes in coral-pink gradient with stains worn out and off-palette
IMG_0868,shoes,sneaker,brown,hiking,Merrell,visible-wear,weak,Merrell Moab brown suede-mesh hiking shoes outdoor utility not sporty-authority
IMG_0869,shoes,dress-shoe,black,derby,Mix,fine,medium,Black plain-toe derby with contrast brown welt decent formal but contrast sole is informal
IMG_0870,shoes,sneaker,white,performance,On,visible-wear,strong,On Cloud sneakers in white-gray with navy lining clean sportive anchor
IMG_0871,shoes,sneaker,black,performance,On,visible-wear,strong,On Cloud all-black sneakers versatile sporty-authority workhorse
IMG_0872,shoes,sneaker,gray,hiking,Merrell,visible-wear,weak,Merrell Moab in gray-charcoal suede hiking shoe off-target for system
IMG_0873,shoes,sneaker,tan,casual,Caterpillar,visible-wear,weak,Caterpillar tan nubuck casual sneakers rugged workwear vibe
IMG_0874,shoes,sandal,black,flip-flop,unknown,fine,hard-no,Black leather flip-flops pool home only
IMG_0875,shoes,sandal,brown,clog,Crocs,fine,hard-no,Crocs leather-top brown clogs informal house shoe
IMG_0876,shoes,sneaker,black,athletic,Skechers,visible-wear,weak,Black mesh Skechers slip-on athletic sneakers with gray sole cheap-look casual
IMG_0877,shoes,sneaker,gray,running,Saucony,visible-wear,weak,Saucony PWRRUN running shoes in gray with burgundy accent gym running not style
